"Адрес ""грязный""";Адрес чистый
Республика Калмыкия, Черноземельский район, п. Комсомольский, ул. Пушкина, 37;п. Комсомольский, ул. Пушкина, 37
Республика Калмыкия, Яшалтинский район, п. Яшалта, ул. Петровского, 116;п. Яшалта, ул. Петровского, 116
Республика Калмыкия, Яшкульский район, п. Яшкуль, ул. 200 лет МВД, 1;п. Яшкуль, ул. 200 лет МВД, 1
Республика Калмыкия, Яшкульский район, п. Яшкуль, ул. А. Очирова, 17;п. Яшкуль, ул. А. Очирова, 17
Ставропольский край, Арзгирский район, с. Арзгир, ул. Матросова, 10;с. Арзгир, ул. Матросова, 10
Ставропольский край, Георгиевский район, ст-ца Александрийская, ул. Грейдерная, 4;ст-ца Александрийская, ул. Грейдерная, 4
Ставропольский край, Георгиевский район, с. Краснокумское, ул. Левобережная, 19;с. Краснокумское, ул. Левобережная, 19
Ставропольский край, Грачевский район, с. Грачевка, ул. Советская, 2;с. Грачевка, ул. Советская, 2
Ставропольский край, Изобильненский район, г. Изобильный, ул. Чапаева, 68;г. Изобильный, ул. Чапаева, 68
Ставропольский край, Кочубеевский район, с. Кочубеевское, ул. Станционная, 11;с. Кочубеевское, ул. Станционная, 11
Ставропольский край, Курский район, х. Дыдымкин, ул. Тивилёва, 2;х. Дыдымкин, ул. Тивилёва, 2
Ставропольский край, г. Невинномысск, ул. Первомайская, 39;г. Невинномысск, ул. Первомайская, 39
Ставропольский край, Нефтекумский район, г. Нефтекумск, ул. Дзержинского, 7;г. Нефтекумск, ул. Дзержинского, 7
Ставропольский край, Новоалександровский район, г. Новоалександровск, ул. Гагарина, 390;г. Новоалександровск, ул. Гагарина, 390
Ставропольский край, Предгорный район, ст-ца Ессентукская, пер. Раевского, 3;ст-ца Ессентукская, пер. Раевского, 3
Ставропольский край, Советский район, г. Зеленокумск, ул. Почтовая, 78;г. Зеленокумск, ул. Почтовая, 78
Ставропольский край, Шпаковский район, г. Михайловск, ул. Гагарина, 385;г. Михайловск, ул. Гагарина, 385
Ивановская область, г. Кинешма, ул. Григория Королева,  10;г. Кинешма, ул. Григория Королева,  10
Вологодская область, Междуреченский район, с. Шуйское, ул. Советская,  23а;с. Шуйское, ул. Советская, 23а
Псковская область, г. Псков, ул. Яна Фабрициуса, 2А;г. Псков, ул. Яна Фабрициуса, 2А
Республика Карелия, Лахденпохский район, г. Лахденпохья, ул. Северная, 3, корпус А;г. Лахденпохья, ул. Северная, 3, корпус А
Республика Коми, Сысольский район, с. Визинга, ул. Мира, 2, корпус А;с. Визинга, ул. Мира, 2, корпус А
Приморский край, г. Владивосток, ул. Ильичёва, 15, каб. 53 (здание административно-территориального управления Первореченского района администрации города Владивостока, 4 этаж);г. Владивосток, ул. Ильичёва, 15
Приморский край, г. Владивосток, ул. Невская, 38;г. Владивосток, ул. Невская, 38
Приморский край, Надеждинский район, с. Вольно-Надеждинское, ул. Пушкина, 34а;с. Вольно-Надеждинское, ул. Пушкина, 34а
Приморский край, Надеждинский район, с. Вольно-Надеждинское, ул. Пушкина, 57-А, каб. 14 (здание Сельхозуправления администрации Надеждинского района, 2-й этаж);с. Вольно-Надеждинское, ул. Пушкина, 57-А
Приморский край, г. Владивосток, ул. Светланская, 22, каб. 204 (здание Администрации Приморского края, 2 этаж);г. Владивосток, ул. Светланская, 22
Чувашская Республика - Чувашия, Городской округ город Новочебоксарск, г. Новочебоксарск, ул. Терешковой,  18А;г. Новочебоксарск, ул. Терешковой, 18А
Еврейская автономная область, г. Биробиджан, ул. Пушкина, 5 Б;г. Биробиджан, ул. Пушкина, 5 Б
Еврейская автономная область, г. Биробиджан, ул. Трансформаторная, 3 а;г. Биробиджан, ул. Трансформаторная, 3 а
Камчатский край, Усть-Большерецкий район, с. Усть-Большерецк, ул Октябрьская, 7А;с. Усть-Большерецк, ул Октябрьская, 7А
Приморский край, Кавалеровский район, пгт. Кавалерово, ул. Арсеньева, 96а, каб. 10;пгт. Кавалерово, ул. Арсеньева, 96а, каб. 10
Приморский край, Красноармейский район, пгт. Восток, ул. Молодежная, 1а;пгт. Восток, ул. Молодежная, 1а
Приморский край, Ханкайский район, с. Камень-Рыболов, Пионерская ул., 1-Б;с. Камень-Рыболов, Пионерская ул., 1-Б
Приморский край, Чугуевский район, с. Чугуевка, ул. 50-лет Октября, 195а;с. Чугуевка, ул. 50-лет Октября, 195а
Чувашская Республика-Чувашия, г. Ядрин, ул. 50 лет Октября, 71А;г. Ядрин, ул. 50 лет Октября, 71А
Сахалинская область, городской округ Ногликский, пгт. Ноглики, ул. Советская, 11А;городской округ Ногликский, пгт. Ноглики, ул. Советская, 11А
Хабаровский край, г. Хабаровск, ул. Тихоокеанская, 155А;г. Хабаровск, ул. Тихоокеанская, 155А
Чукотский автономный округ, Провиденский район, пгт. Провидения, ул. Набережная Дежнева, 8 А;пгт. Провидения, ул. Набережная Дежнева, 8 А
Республика Мордовия, Саранск, Пролетарская ул., 117А;Саранск, Пролетарская ул., 117А
Россия, Республика Мордовия, Торбеевский район, поселок городского типа Торбеево, улица Водная, дом 1б;п.г.т. Торбеево,ул. Водная, дом 1б
Россия, Республика Мордовия, Торбеевский район, поселок городского типа Торбеево, улица Карла Маркса, дом 7а;п.г.т. Торбеево,ул. Карла Маркса, дом 7а
Кировская область, Арбажский район, пгт. Арбаж, Октябрьская ул., 1А;пгт. Арбаж, Октябрьская ул., 1А
Кировская область, Кильмезский район, пгт. Кильмезь, Октябрьская ул., 1А;пгт. Кильмезь, Октябрьская ул., 1А
Республика Марий Эл, г. Козьмодемьянск, ул. Гагарина, 56А;г. Козьмодемьянск, ул. Гагарина, 56А
Россия, Кировская область, Кирово-Чепецкий район, город Кирово-Чепецк, проезд Лермонтова, дом 14А;г. Кирово-Чепецк, проезд Лермонтова, дом 14А
Республика Марий Эл, Новоторъяльский район, пгт. Новый Торъял, ул. Советская, 23А;пгт. Новый Торъял, ул. Советская, 23А
Республика Марий Эл, Оршанский район, пгт. Оршанка, ул. Пролетарская, 8А;пгт. Оршанка, ул. Пролетарская, 8А
Кировская область, Котельнич, ул. Победы, 67А;Котельнич, ул. Победы, 67А
Россия, Кировская область, Омутнинский район, город Омутнинск, улица Коковихина, дом 37Б;г. Омутнинск,ул. Коковихина, дом 37Б
Россия, Кировская область, Пижанский район, поселок городского типа Пижанка, улица Труда, дом 8А;п.г.т. Пижанка,ул. Труда, дом 8А
Россия, Республика Мордовия, Ромодановский район, поселок Ромоданово, улица Ленина, дом 138Б;п. Ромоданово,ул. Ленина, дом 138Б
Нижегородская область, Богородский район, г. Богородск, ул. Ленина, 218А;г. Богородск, ул. Ленина, 218А
Белгородская область, Белгородский район, пгт. Октябрьский, Привокзальная ул.,  1а;пгт. Октябрьский, Привокзальная ул., 1а
Владимирская область, г. Владимир, ул. Никитская, 4А;г. Владимир, ул. Никитская, 4А
Владимирская область, г. Ковров, ул. Гагарина, 2А;г. Ковров, ул. Гагарина, 2А
Владимирская область, г. Ковров, ул. Карла Маркса, 13А;г. Ковров, ул. Карла Маркса, 13А
Владимирская область, округ Муром, г. Муром, ул. Войкова, 11В;округ Муром, г. Муром, ул. Войкова, 11В
Владимирская область, Суздальский район, г. Суздаль, ул. Энгельса, 12А;г. Суздаль, ул. Энгельса, 12А
Воронежская область, город Нововоронеж, улица Мира, дом 1А;г. Нововоронеж,ул. Мира, дом 1А
Воронежская область, Рамонский район, пгт. Рамонь, ул. Газовая, 2А;пгт. Рамонь, ул. Газовая, 2А
Астраханская область, Икрянинский район, с. Икряное, ул. Чапаева, 45а;с. Икряное, ул. Чапаева, 45а
Астраханская область, Наримановский район, г. Нариманов, ул. Волгоградская, 1а;г. Нариманов, ул. Волгоградская, 1а
Республика Калмыкия, Целинный р-н, с. Троицкое, ул. А.С. Пушкина, 23А;с. Троицкое, ул. А.С. Пушкина, 23А
Сахалинская область, г. Южно-Сахалинск, ул. Украинская, 51;г. Южно-Сахалинск, ул. Украинская, 51
Тульская область, г. Донской, мкр Центральный, ул. Ленина, 6;г. Донской, мкр Центральный, ул. Ленина, 6
Тульская область, рабочий поселок Арсеньево, ул. Бандикова, 32;рабочийп. Арсеньево, ул. Бандикова, 32
Нижегородская область, Павловский район, г. Павлово, ул. Коммунистическая, 71;г. Павлово, ул. Коммунистическая, 71
Нижегородская область, Шарангский район, с. Старая Рудка, ул. Колхозная, 1;с. Старая Рудка, ул. Колхозная, 1
Нижегородская область, Арзамасский район, с. Большое Туманово, пл. Победы, 30;с. Большое Туманово, пл. Победы, 30
Нижегородская область, Вознесенский район, с. Мотызлей, ул. Ленина, 55;с. Мотызлей, ул. Ленина, 55
Нижегородская область, городской округ Семеновский, с. Ильино-Заборское, ул. Медведева, 2;городской округ Семеновский, с. Ильино-Заборское, ул. Медведева, 2
Нижегородская область, Спасский район, с. Высокий Оселок, ул. Полевая, 16;с. Высокий Оселок, ул. Полевая, 16
Нижегородская область, Большемурашкинский район, с. Григорово, Центральная ул., 21;с. Григорово, Центральная ул., 21
Нижегородская область, Сеченовский район, с. Мурзицы, Кооперативная ул., 17;с. Мурзицы, Кооперативная ул., 17
Нижегородская область, г. Навашино, с. Поздняково, пер. Школьный, 3;г. Навашино, с. Поздняково, пер. Школьный, 3
Тульская область, г. Алексин, ул. Болотова, 18 а;г. Алексин, ул. Болотова, 18 а
Тульская область, г. Белев, ул. Спортивная, 25;г. Белев, ул. Спортивная, 25
Тульская область, г. Богородицк, ул. Шахтная, 2;г. Богородицк, ул. Шахтная, 2
Тульская область, п. Дубна, ул. Октябрьская, 24;п. Дубна, ул. Октябрьская, 24
Тульская область, г. Ефремов, ул. Комсомольская, 61;г. Ефремов, ул. Комсомольская, 61
Тульская область, рабочий поселок Заокский, ул. Ленина, 41А;рабочийп. Заокский, ул. Ленина, 41А
Тульская область, г. Кимовск, ул. Октябрьская, 33;г. Кимовск, ул. Октябрьская, 33
Тульская область, г. Киреевск, ул. Тесакова, 4Б;г. Киреевск, ул. Тесакова, 4Б
Тульская область, рабочий поселок Куркино, ул. Привокзальная, 30;рабочийп. Куркино, ул. Привокзальная, 30
Тульская область, рабочий поселок Одоев, ул. Первомайская, 28;рабочийп. Одоев, ул. Первомайская, 28
Тульская область, г. Плавск, ул. Коммунаров, 60;г. Плавск, ул. Коммунаров, 60
Тульская область, г. Суворов, ул. Калинина, 5А;г. Суворов, ул. Калинина, 5А
Тульская область, рабочий поселок Теплое, ул. Фролова, 135;рабочийп. Теплое, ул. Фролова, 135
Тульская область, рабочий поселок Чернь, ул. Свободная, 87;рабочийп. Чернь, ул. Свободная, 87
Тульская обл г. Ясногорск, ул. Заводская, 8;Тульская обл г. Ясногорск, ул. Заводская, 8
Республика Карелия, Муезерский район, с. Ругозеро, ул. Еремеева, 30;с. Ругозеро, ул. Еремеева, 30
Брянская область, Погарский район, с. Юдиново, ул. Набережная, 1А;с. Юдиново, ул. Набережная, 1А
Республика Коми, Сысольский район, п. Визиндор, ул. Набережная, 7 лит. В;п. Визиндор, ул. Набережная, 7 лит. В
Самарская область, Кинельский район, с. Алакаевка, ул. Ленинская, 29А.;с. Алакаевка, ул. Ленинская, 29А.
Самарская область, Кинельский район, с. Сырейка, ул. Советская, 20.;с. Сырейка, ул. Советская, 20.
Самарская область, Кинельский район, с. Парфеновка, пл. Революции, 4.;с. Парфеновка, пл. Революции, 4.
Нижегородская область, Павловский район, г. Павлово, ул. Чапаева, 41;г. Павлово, ул. Чапаева, 41
Пензенская область, г. Пенза, ул. Богданова, 17;г. Пенза, ул. Богданова, 17
Владимирская область, г. Ковров, ул. Дегтярёва, 120 дробь 1;г. Ковров, ул. Дегтярёва, 120 дробь 1
Ивановская область, г. Иваново, ул. Советская,  9;г. Иваново, ул. Советская,  9
Чукотский автономный округ, Анадырский район, с. Марково, ул. Берзина, 18;с. Марково, ул. Берзина, 18
Свердловская область, Красноуфимский район, п. Натальинск, ул. Ленина, 31;п. Натальинск, ул. Ленина, 31
Ивановская область, Комсомольский район, с. Подозерский, ул. Ленина, 22А;с. Подозерский, ул. Ленина, 22А
Нижегородская область, Краснооктябрьский район, с. Чембилей, ул. Школьная, 2 Г;с. Чембилей, ул. Школьная, 2 Г
Республика Карелия, Пудожский район, п. Красноборский, Центральная ул., 1;п. Красноборский, Центральная ул., 1
Вологодская область, Череповецкий район, д. Ягница, ул. Школьная, 1;д. Ягница, ул. Школьная, 1
Кировская область, Вятскополянский район, пгт. Красная Поляна, ул. Дружбы, 2;пгт. Красная Поляна, ул. Дружбы, 2
Республика Коми, Удорский район, поселок городского типа Благоево, ул. Дружбы, 6;п.г.т. Благоево, ул. Дружбы, 6
Нижегородская область, Спасский район, с. Красный Ватрас, ул. Школьная, 4;с. Красный Ватрас, ул. Школьная, 4
Владимирская область, г. Владимир, ул. Диктора Левитана, 27А;г. Владимир, ул. Диктора Левитана, 27А
Пензенская область, г. Пенза, ул. Рахманинова, 21А;г. Пенза, ул. Рахманинова, 21А
Воронежская область, Ольховатский район, с. Копаная, ул. Молодежная, 114;с. Копаная, ул. Молодежная, 114
Владимирская область, Юрьев-Польский район, с. Сима, ул. Советская, 47;с. Сима, ул. Советская, 47
Владимирская область, Юрьев-Польский район, с. Небылое, ул. Первомайская, 2;с. Небылое, ул. Первомайская, 2
Брянская область, Брянский район, с. Домашово, ул. Центральная, 10Б;с. Домашово, ул. Центральная, 10Б
Брянская область, Брянский район, с. Журиничи, ул. Песочная, 1А;с. Журиничи, ул. Песочная, 1А
Брянская область, Брянский район,   Козелкино, ул. Лесная,  51 А;Козелкино, ул. Лесная, 51 А
Брянская область, Брянский район, д. Меркульево, ул. Воинская, 1;д. Меркульево, ул. Воинская, 1
Брянская область, Брянский район, п. Пятилетка, ул. Школьная, 1;п. Пятилетка, ул. Школьная, 1
Брянская область, Брянский район, с. Теменичи, ул. Молодежная, 2А;с. Теменичи, ул. Молодежная, 2А
Брянская область, Брянский район, п. Свень, пер. Транспортный, 2;п. Свень, пер. Транспортный, 2
Владимирская область, Вязниковский район, г. Вязники, ул. Комсомольская, 3;г. Вязники, ул. Комсомольская, 3
Владимирская область, Гороховецкий район, г. Гороховец, ул. Братьев Бесединых, 3;г. Гороховец, ул. Братьев Бесединых, 3
Владимирская область, г. Гусь-Хрустальный, ул. Муравьева-Апостола, 9;г. Гусь-Хрустальный, ул. Муравьева-Апостола, 9
Владимирская область, г. Ковров, ул.Владимирская, 59А;г. Ковров, ул.Владимирская, 59А
Владимирская область, Меленковский район, г. Меленки, ул. Комсомольская, 112;г. Меленки, ул. Комсомольская, 112
Владимирская область, Петушинский район, г. Петушки, ул. Профсоюзная, 6;г. Петушки, ул. Профсоюзная, 6
Владимирская область, Селивановский район, п. Красная Горбатка, ул. Красноармейская, 12;п. Красная Горбатка, ул. Красноармейская, 12
Республика Карелия, Пряжинский район, п. Матросы, Пряжинское ш., 20;п. Матросы, Пряжинское ш., 20
Нижегородская область, Павловский район, г. Павлово, ул. Лермонтова, 16а;г. Павлово, ул. Лермонтова, 16а
Еврейская автономная область, г. Биробиджан, ул. Пионерская, 34;г. Биробиджан, ул. Пионерская, 34
Владимирская область, Вязниковский район, Деревня Октябрьская, Фабричная горка, 5;Деревня Октябрьская, Фабричная горка, 5
Республика Коми, Усть-Цилемский район, село Коровий Ручей, ул. Школьная, 2;с. Коровий Ручей, ул. Школьная, 2
Россия, Ивановская область, Шуйский район, деревня Клочково, ул. Центральная, д. 5;деревня Клочково, ул. Центральная, д. 5
Свердловская область, город Кировград, п. Нейво-Рудянка, ул. Партизан, 34;г. Кировград, п. Нейво-Рудянка, ул. Партизан, 34
Владимирская обл., Вязниковский р-н, д. Октябрьская, ул. Советская, 34;д. Октябрьская, ул. Советская, 34
Владимирская обл., Вязниковский р-н, д. Сергеево,, ул. Центральная, 2а;д. Сергеево,, ул. Центральная, 2а
Нижегородская область, Павловский район, г. Павлово, ул. Маяковского, 4;г. Павлово, ул. Маяковского, 4
Нижегородская область, г. Семенов, д. Шалдеж, ул. Молодежная, 2 а;г. Семенов, д. Шалдеж, ул. Молодежная, 2 а
Нижегородская область, Сеченовский район, с. Сеченово, Советская ул., 8;с. Сеченово, Советская ул., 8
Оренбургская область, Беляевский район, п. Дубенский, ул. Советская, 22;п. Дубенский, ул. Советская, 22
Приморский край, Красноармейский район, с. Рощино, ул. Рощина, 47а;с. Рощино, ул. Рощина, 47а
Самарская область, Кинельский район, с. Богдановка, ул. Конычева, 20;с. Богдановка, ул. Конычева, 20
Свердловская область, Серовский городской округ, п. Марсяты, ул. Зеленая, 15;п. Марсяты, ул. Зеленая, 15
Приморский край, Красноармейский район, с. Новопокровка, ул. Советская, 108;с. Новопокровка, ул. Советская, 108
Оренбургская область, Асекеевский район, с. Яковлевка, Центральная улица, 6;с. Яковлевка, Центральная улица, 6
Республика Коми, Прилузский район, п. Кыддзявидзь, ул. Комсомольская, 4;п. Кыддзявидзь, ул. Комсомольская, 4
Россия, Кировская область, Куменский район, поселок городского типа Кумены, Лесная улица, дом 7;п.г.т. Кумены, Лесная улица, дом 7
Томская область, г. Томск, ул. Богдана Хмельницкого, 40;г. Томск, ул. Богдана Хмельницкого, 40
Нижегородская область, Павловский район, г. Павлово, ул. Радиальная, 1;г. Павлово, ул. Радиальная, 1
Оренбургская область, Оренбургский район, с. Южный, ул. Буденного, 28 А;с. Южный, ул. Буденного, 28 А
Самарская область, Волжский район, п. Верхняя Подстепновка, ул. Специалистов, 18;п. Верхняя Подстепновка, ул. Специалистов, 18
Свердловская область, Городской Округ Ирбитское, с. Килачевское, ул. Ленина, 55;Городской Округ Ирбитское, с. Килачевское, ул. Ленина, 55
Свердловская область, Горноуральский городской округ, п. Черноисточинск, ул. Кирова 2А;п. Черноисточинск, ул. Кирова 2А
Оренбургская область, Сакмарский район, с. Сакмара, ул. Советская, 20;с. Сакмара, ул. Советская, 20
Оренбургская область, Сакмарский район, п. Красный Коммунар, ул. Краснокоммунарская, 30;п. Красный Коммунар, ул. Краснокоммунарская, 30
Оренбургская область, Сакмарский район, с. Белоусовка, ул. Школьная, 256;с. Белоусовка, ул. Школьная, 256
Оренбургская область, Сакмарский район, с. Никольское, ул. Школьная, 1;с. Никольское, ул. Школьная, 1
Оренбургская область, Сакмарский район, с. Верхние Чебеньки, ул. Школьная, 2;с. Верхние Чебеньки, ул. Школьная, 2
Оренбургская область, Сакмарский район, с. Архиповка, ул. Школьная, 46 А;с. Архиповка, ул. Школьная, 46 А
Оренбургская область, Сакмарский район, с. Тимашево, ул. Советская, 44 А;с. Тимашево, ул. Советская, 44 А
Оренбургская область, Сакмарский район, с. Орловка, ул. Школьная, 2;с. Орловка, ул. Школьная, 2
Оренбургская область, Сакмарский район, с. Каменка, ул. Садовая, 1 А;с. Каменка, ул. Садовая, 1 А
Томская область, г. Томск, ул. Салтыкова - Щедрина, 35;г. Томск, ул. Салтыкова - Щедрина, 35
Томская область, Молчановский район, с. Молчаново, ул. Учебная, 1;с. Молчаново, ул. Учебная, 1
Оренбургская область, Адамовский район, п. Комсомольский, ул. Гагарина, 12;п. Комсомольский, ул. Гагарина, 12
Томская область, Колпашевский район, с. Чажемто, ул. Школьная, 2 дробь 1;с. Чажемто, ул. Школьная, 2 дробь 1
Томская область, Колпашевский район, д. Новогорное, ул. Береговая, 44 дробь 1;д. Новогорное, ул. Береговая, 44 дробь 1
Свердловская область, Серовский городской округ, п. Красноглинный, ул. Садовая, 15;п. Красноглинный, ул. Садовая, 15
Томская область, Парабельский район, п. Заводской, ул. 60 лет СССР, 24а;п. Заводской, ул. 60 лет СССР, 24а
Томская область, Каргасокский район, с. Каргасок, ул. Новая, 1;с. Каргасок, ул. Новая, 1
Томская область, Каргасокский район, с. Каргасок, ул. Энтузиастов, 2;с. Каргасок, ул. Энтузиастов, 2
Томская область, Томский район, с. Курлек, ул. Трактовая, 35;с. Курлек, ул. Трактовая, 35
Томская область, Александровский район, с. Александровское, ул. Дорожников, 1;с. Александровское, ул. Дорожников, 1
Томская область, Асиновский район, с. Новиковка, ул. Советская, 14;с. Новиковка, ул. Советская, 14
Томская область, Первомайский район, с. Первомайское, ул. Ленинская, 27;с. Первомайское, ул. Ленинская, 27
Томская область, Первомайский район, с. Первомайское, ул. Советская, 14;с. Первомайское, ул. Советская, 14
Томская область, Первомайский район, с. Комсомольск, ул. Первомайская, 11А;с. Комсомольск, ул. Первомайская, 11А
Томская область, Бакчарский район, с. Бакчар, ул. Ленина, 56, каб. 8;с. Бакчар, ул. Ленина, 56, каб. 8
Томская область, Асиновский район, г. Асино, ул. Боровая, 14;г. Асино, ул. Боровая, 14
Республика Карелия, Питкярантский район, п. Импилахти, ул. Школьная, 1;п. Импилахти, ул. Школьная, 1
Нижегородская область, Володарский район, пгт.Ильино, ул. Совхозная, 1;пгт.Ильино, ул. Совхозная, 1
Мурманская область, Терский район, п. городского типа Умба, улица Дзержинского, 42;п. городского типа Умба,ул. Дзержинского, 42
Приморский край, г. Владивосток, ул. 2-я Поселковая, 51;г. Владивосток, ул. 2-я Поселковая, 51
Приморский край, г. Владивосток, ул. Адмирала Горшкова, 26;г. Владивосток, ул. Адмирала Горшкова, 26
Приморский край, г. Владивосток, ул. Адмирала Кузнецова, 40А;г. Владивосток, ул. Адмирала Кузнецова, 40А
Приморский край, г. Владивосток, ул. Адмирала Юмашева, 12Г;г. Владивосток, ул. Адмирала Юмашева, 12Г
Приморский край, г. Владивосток, ул. Анны Щетининой, 34;г. Владивосток, ул. Анны Щетининой, 34
Приморский край, г. Владивосток, ул. Енисейская, 7А;г. Владивосток, ул. Енисейская, 7А
Приморский край, г. Владивосток, ул. Жигура, 52А;г. Владивосток, ул. Жигура, 52А
Приморский край, г. Владивосток, ул. Казанская, 4;г. Владивосток, ул. Казанская, 4
Приморский край, г. Владивосток, ул. Каштановая, 5А;г. Владивосток, ул. Каштановая, 5А
Приморский край, г. Владивосток, ул. Ковальчука, 6;г. Владивосток, ул. Ковальчука, 6
Приморский край, г. Владивосток, ул. Космонавтов, 15;г. Владивосток, ул. Космонавтов, 15
Приморский край, г. Владивосток, ул. Никифорова, 41А;г. Владивосток, ул. Никифорова, 41А
Приморский край, г. Владивосток, остров Русский, ул. Верхненабережная, 15;г. Владивосток, остров Русский, ул. Верхненабережная, 15
Приморский край, г. Владивосток, остров Русский, п. Канал, 29;г. Владивосток, остров Русский, п. Канал, 29
Приморский край, г. Владивосток, остров Попова, ул. Советская, 48;г. Владивосток, остров Попова, ул. Советская, 48
Приморский край, г. Владивосток, остров Русский, п. Подножье, 10;г. Владивосток, остров Русский, п. Подножье, 10
Приморский край, г. Владивосток, ул. Опорная, 4;г. Владивосток, ул. Опорная, 4
Приморский край, г. Владивосток, ул. Писаревская, 6;г. Владивосток, ул. Писаревская, 6
Приморский край, г. Владивосток, пр-кт. Красного Знамени, 123;г. Владивосток, пр-кт. Красного Знамени, 123
Приморский край, г. Владивосток, ул. Сахалинская, 23А;г. Владивосток, ул. Сахалинская, 23А
Приморский край, г. Владивосток, ул. Станюковича, 31А;г. Владивосток, ул. Станюковича, 31А
Приморский край, Владивостокский городской округ, п. Трудовое, ул. Лермонтова, 30;п. Трудовое, ул. Лермонтова, 30
Приморский край, г. Владивосток, ул. Хабаровская, 24Б;г. Владивосток, ул. Хабаровская, 24Б
Приморский край, г. Владивосток, ул. Щитовая, 43;г. Владивосток, ул. Щитовая, 43
Приморский край, г. Владивосток, ул. Ялтинская, 18;г. Владивосток, ул. Ялтинская, 18
Приморский край, г. Владивосток, ул. Адмирала Кузнецова, 54В;г. Владивосток, ул. Адмирала Кузнецова, 54В
Приморский край, г. Владивосток, пр-кт. Океанский, 143;г. Владивосток, пр-кт. Океанский, 143
Оренбургская область, Оренбургский район, с. Южный Урал, ул. Буденного, 28;с. Южный Урал, ул. Буденного, 28
Самарская область, Похвистневский район, с. Староганькино, ул. Центральная, 27б;с. Староганькино, ул. Центральная, 27б
Самарская область, Похвистневский район, с. Рысайкино, ул. Ижедерова, 61а;с. Рысайкино, ул. Ижедерова, 61а
Воронежская обл., Репьевский р-н, с. Платава, ул. Советская, 58 В;с. Платава, ул. Советская, 58 В
Республика Карелия, Муезерский район, п. Тикша, ул. Школьная, 1;п. Тикша, ул. Школьная, 1
Нижегородская область, Павловский район, г. Павлово, ул. Профсоюзная, 42;г. Павлово, ул. Профсоюзная, 42
Нижегородская область, г. Нижний Новгород, Нижегородский район, ул. Пискунова,  1;г. Нижний Новгород, ул. Пискунова, 1
Нижегородская область, г. Нижний Новгород, Приокский район, пр-кт Гагарина, 148;г. Нижний Новгород, пр-кт Гагарина, 148
Нижегородская область, г. Нижний Новгород, пл. Советская, 1;г. Нижний Новгород, пл. Советская, 1
Свердловская область, Белоярский городской округ, с. Большебрусянское, Школьная ул., 1;с. Большебрусянское, Школьная ул., 1
Владимирская область, Судогодский район, п. Андреево, ул. Лесозаводская, 28;п. Андреево, ул. Лесозаводская, 28
Республика Карелия, Суоярвский район, п. Лоймола, ул. Лесная, 27;п. Лоймола, ул. Лесная, 27
Оренбургская область, Бугурусланский район, с. Михайловка, ул. Рабочая, 25;с. Михайловка, ул. Рабочая, 25
Брянская область, Унечский район, д. Березина, ул. Молодежная, 28Б;д. Березина, ул. Молодежная, 28Б
Брянская область, Унечский район, с. Высокое, ул. Дружбы, 7А;с. Высокое, ул. Дружбы, 7А
Брянская область, Унечский район, с. Красновичи, ул. Школьная, 5;с. Красновичи, ул. Школьная, 5
Брянская область, Унечский район, с. Найтоповичи, ул. Октябрьская, 25;с. Найтоповичи, ул. Октябрьская, 25
Брянская область, Унечский район, с. Павловка, ул. Школьная, 1;с. Павловка, ул. Школьная, 1
Брянская область, Унечский район, с. Старая Гута, ул. Садовая, 7;с. Старая Гута, ул. Садовая, 7
Оренбургская область,Соль-Илецкий городской округ, с. Саратовка, ул. Центральная, 23.;с. Саратовка, ул. Центральная, 23.
Мурманская область, Кандалакшский район, г. Кандалакша, Первомайская улица, 34;г. Кандалакша, Первомайская улица, 34
Республика Карелия, Питкярантский район, д. Ряймяля, ул. Советская, 11;д. Ряймяля, ул. Советская, 11
Псковская область, Плюсский район, п. Плюсса, ул. Школьная, 1а;п. Плюсса, ул. Школьная, 1а
Владимирская область, Камешковский район, п. имени Максима Горького, ул. Мириманова;п. имени Максима Горького, ул. Мириманова
Мурманская область, г. Ковдор, ул. Кирова, 27;г. Ковдор, ул. Кирова, 27
Мурманская область, г. Кировск, пр-кт Ленина, 20;г. Кировск, пр-кт Ленина, 20
Сахалинская область, городской округ Ногликский, пгт. Ноглики, ул. Мостовая, 12;городской округ Ногликский, пгт. Ноглики, ул. Мостовая, 12
Свердловская область, муниципальное образование Алапаевское, пгт. Верхняя Синячиха, Кедровая ул.;муниципальное образование Алапаевское, пгт. Верхняя Синячиха, Кедровая ул.
Республика Карелия, Сегежский район, пгт. Надвоицы, ул. Заводская, 1;пгт. Надвоицы, ул. Заводская, 1
Республика Карелия, Пудожский район, п. Водла, ул. Комсомольская, 17;п. Водла, ул. Комсомольская, 17
Ивановская область, г. Иваново, пр-кт Ленина, 41;г. Иваново, пр-кт Ленина, 41
Приморский край, ЗАТО Фокино, п. Дунай, ул. Ленина, 10;ЗАТО Фокино, п. Дунай, ул. Ленина, 10
Удмуртская Республика, Киясовский район, с. Первомайский, ул. Набережная, 14;с. Первомайский, ул. Набережная, 14
Ивановская область, г. Кохма, ул. Ивановская,  32;г. Кохма, ул. Ивановская,  32
Самарская область, Кинель-Черкасский район, п. Садгород, ул. Школьная, 33;п. Садгород, ул. Школьная, 33
